trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
5001049,,,55,21,0
5001049,,,56,22,0
5001049,,,1290,23,0
5001049,,,57,24,0
5001049,,,1216,25,0
5001049,13:55:00,13:55:00,1,26,1
5001051,13:45:00,13:45:00,1493,0,1
5001051,,,1349,1,0
5001051,,,1548,2,0
5001051,,,1491,3,0
5001051,,,1306,4,0
5001051,,,1592,5,0
5001051,,,34,6,0
5001051,,,35,7,0
5001051,,,36,8,0
5001051,,,37,9,0
5001051,,,38,10,0
5001051,,,39,11,0
5001051,,,40,12,0
5001051,,,1199,13,0
5001051,,,118,14,0
5001051,,,360,15,0
5001051,,,361,16,0
5001051,,,362,17,0
5001051,,,1159,18,0
5001051,,,52,19,0
5001051,,,53,20,0
5001051,,,55,21,0
5001051,,,56,22,0
5001051,,,1290,23,0
5001051,,,57,24,0
5001051,,,1216,25,0
5001051,14:12:00,14:12:00,1,26,1
5001053,14:02:00,14:02:00,1493,0,1
5001053,,,1349,1,0
5001053,,,1548,2,0
5001053,,,1491,3,0
5001053,,,1306,4,0
5001053,,,1592,5,0
5001053,,,34,6,0
5001053,,,35,7,0
5001053,,,36,8,0
5001053,,,37,9,0
5001053,,,38,10,0
5001053,,,39,11,0
5001053,,,40,12,0
5001053,,,1199,13,0
5001053,,,118,14,0
5001053,,,360,15,0
5001053,,,361,16,0
5001053,,,362,17,0
5001053,,,1159,18,0
5001053,,,52,19,0
5001053,,,53,20,0
5001053,,,55,21,0
5001053,,,56,22,0
5001053,,,1290,23,0
5001053,,,57,24,0
5001053,,,1216,25,0
5001053,14:29:00,14:29:00,1,26,1
5001055,14:19:00,14:19:00,1493,0,1
5001055,,,1349,1,0
5001055,,,1548,2,0
5001055,,,1491,3,0
5001055,,,1306,4,0
5001055,,,1592,5,0
5001055,,,34,6,0
5001055,,,35,7,0
5001055,,,36,8,0
5001055,,,37,9,0
5001055,,,38,10,0
5001055,,,39,11,0
5001055,,,40,12,0
5001055,,,1199,13,0
5001055,,,118,14,0
5001055,,,360,15,0
5001055,,,361,16,0
5001055,,,362,17,0
5001055,,,1159,18,0
5001055,,,52,19,0
5001055,,,53,20,0
5001055,,,55,21,0
5001055,,,56,22,0
5001055,,,1290,23,0
5001055,,,57,24,0
5001055,,,1216,25,0
5001055,14:46:00,14:46:00,1,26,1
5001057,14:36:00,14:36:00,1493,0,1
5001057,,,1349,1,0
5001057,,,1548,2,0
5001057,,,1491,3,0
5001057,,,1306,4,0
5001057,,,1592,5,0
5001057,,,34,6,0
5001057,,,35,7,0
5001057,,,36,8,0
5001057,,,37,9,0
5001057,,,38,10,0
5001057,,,39,11,0
5001057,,,40,12,0
5001057,,,1199,13,0
5001057,,,118,14,0
5001057,,,360,15,0
5001057,,,361,16,0
5001057,,,362,17,0
5001057,,,1159,18,0
5001057,,,52,19,0
5001057,,,53,20,0
5001057,,,55,21,0
5001057,,,56,22,0
5001057,,,1290,23,0
5001057,,,57,24,0
5001057,,,1216,25,0
5001057,15:03:00,15:03:00,1,26,1
5001059,14:53:00,14:53:00,1493,0,1
