"stop_name","stop_desc"
"Gainesville High School","Southbound NW 13th ST @ Nearside NW 19th LN"
"Gainesville High School","Southbound NW 13th ST @ Farside NW 18th AVE"
"Direct Auto Insurance","Southbound NW 13th ST @ Farside NW 14th AVE"
"State Farm Insurance @ NW 13th Street","Southbound NW 13th ST @ Farside NW 12th AVE"
"Applebee's @ NW 13th Street","Southbound NW 13th ST @ Nearside NW 10th AVE"
"All Star Automotive","Southbound NW 13th ST @ Nearside NW 7th AVE"
"The Gate Food Store @ NW 13th Street","Southbound NW 13th ST @ Nearside NW 5th AVE"
"NW 13th St @ Nearside NW 3rd Pl Southbound","Southbound NW 13th ST @ Nearside NW 3rd PL"
"The Standard","Southbound NW 13th ST @ Nearside NW 1st AVE"
"Tigert Hall","Southbound SW 13th ST @ Farside SW 2nd AVE"
"Southbound SW 13th ST @ SW 13th AVE","Southbound SW 13 ST @ SW 13th AVE"
"Hotel Eleo @ SW 16th Ave Westbound","Westbound SW 16th AVE @ Farside SW 14th ST"
"Gainesville Healthcare Center","Northbound SW 16th ST @ Nearside Circle of Hope"
"Shands Hospital @ Parking Garage 9","Southbound Gale Lemerand DR @ Farside Archer RD"
"Shands Hospital @ Helipad","Westbound Shealy DR @ Farside SW 16TH AVE"
"Kangaroo @ SW 13th Street","Northbound SW 13th ST @ Nearside W University AVE"
"McDonald's @ SW 13th Street","Northbound NW 13th ST @ Nearside W University AVE"
"Mother Earth Market","Northbound NW 13th ST @ Farside NW 5th AVE"
"University House Apartments","Northbound NW 13th ST @ Farside NW 7th AVE"
"Xerographic Copy Center","Northbound NW 13th ST @ Nearside NW 10th AVE"
"LifeSouth Community Blood Center @ NW 13th Street","Northbound NW 13th ST @ Nearside NW 14th AVE"
