stop_id,stop_name,stop_desc,route_id
660,Shands Hospital @ Helipad,Westbound Shealy DR @ Farside SW 16TH AVE,8
366,University House Apartments,Northbound NW 13th ST @ Farside NW 7th AVE,8
659,Shands Hospital @ Parking Garage 9,Southbound Gale Lemerand DR @ Farside Archer RD,8
1374,Westbound NW 39th AVE @ NW 19th TER,Westbound NW 39th AVE @ Nearside NW 19th TER,8
365,Mother Earth Market,Northbound NW 13th ST @ Farside NW 5th AVE,8
380,Kiwanis Park,Northbound NW 21st ST @ Nearside NW 36th AVE,8
393,Capri Neighborhood,Northbound NW 34th ST @ Nearside NW 45th AVE,8
1170,Pine Ridge Apartments,Northbound NW 34th ST @ Nearside NW 23rd TER,8
364,McDonald's @ SW 13th Street,Northbound NW 13th ST @ Nearside W University AVE,8
456,Arbor Park Apartments,Eastbound SW 35th PL @ Nearside SW 27th TER,9
459,SW 23rd Terrace @ SW 35th Place,Northbound SW 23rd TER @ Farside SW 32nd PL,9
966,Weimer Hall,Eastbound Stadium RD @ Farside Gale Lemerand DR,9
1193,Rawlings Hall,Southbound Newell DR @ Nearside McCarty DR,9
448,Westbound SW 40th Place @ NW 26th Terrace,Westbound SW 40th PL @ Nearside SW 26th TER,9
449,Campus Lodge Apartments,Westbound SW 40th TER @ Nearside SW 38th PL,9
1254,Gator Corner Dining Facility @ Gale Lemerand,Northbound Gale Lemerand DR @ Nearside Stadium RD,9
447,Hunters Run,Northbound SW 25th TER @ Farside Williston RD,9
467,Cancer and Genetics Research,Eastbound Mowry RD @ Nearside Gale Lemerand DR,9
462,University of Florida Energy Research,Northbound SW 23rd TER @ Nearside SW Archer RD,9
451,Lexington Crossing Apartments,Northbound SW 27th ST @ Farside SW 38th PL,9
468,Parking & Transportation Services,Northbound Gale Lemerand DR @ Farside Mowry RD,9
455,Casablanca East Apartments,Eastbound SW 35th PL @ Farside SW 27th TER,9
450,Lexington Crossing Apartments,Northbound SW 27th ST @ Nearside SW 38th PL,9
457,Hickory Place Apartments,Eastbound SW 35th PL @ Nearside SW 23rd TER,9
453,Windsor Park Apartments,Northbound SW 27th ST @ Nearside SW 35th PL,9
1253,Graham Hall,Northbound Gale Lemerand DR @ Farside Museum RD,9
488,Countryside at the University Apartments,Southbound SW 23rd TER @ Nearside Williston RD,9
1136,Wilmot Gardens,Westbound Mowry RD @ Nearside Gale Lemerand DR,9
486,Gator Place Condominiums,Southbound SW 23rd TER @ Farside SW 35th PL,9
484,Towne Parc Apartments,Southbound SW 23rd TER @ Nearside SW 31 PL,9
481,University Commons,Southbound SW 23rd TER @ Farside Archer RD,9
489,Southbound SW 23rd Street @ Williston Road,Southbound SW 23rd ST @ Nearside Williston RD,9
1135,Shands Visitor Parking,Westbound Mowry RD @ Farside Center DR,9
480,Mt Vernon Apartments,Southbound SW 23rd DR @ Nearside Archer RD,9
479,Campus Edge Condominiums,Southbound SW 23rd DR @ Farside Hull RD,9
485,Southwood Apartments,Southbound SW 23rd TER @ Farside SW 34 PL,9
477,Cancer & Genetics Research Center,Westbound Mowry RD @ Farside Gale Lemerand DR,9
509,Floral Expressions,Westbound NW 23rd AVE @ Farside NW 43rd ST,10
142,Seagle Building,Westbound W University AVE @ Farside W 3rd ST,10
145,Westbound W University Ave @ NW 10th St,Westbound W University AVE @ Nearside NW 10th ST,10
144,Leonardo's 706,Westbound W University AVE @ Nearside NW 8th ST,10
495,Westbound NW 16th Avenue @ NW 20th Way,Westbound NW 16th AVE @ Nearside NW 20th WAY,10
143,Santa Fe College Charles L. Blount Center,Westbound W University AVE @ Nearside NW 6th ST,10
1,Rosa Parks RTS Downtown Station,Northbound SE 3rd ST @ Nearside SE 3rd ST,10
501,NW 30th Terrace @ NW 16th Avenue,Westbound NW 16th AVE @ Farside NW 30th TER,10
502,Zion Evangelical Lutheran Church,Westbound NW 16th BLVD @ Farside NW 34th ST,10
503,Willowcroft Neighborhood,Westbound NW 16th BLVD @ Farside NW 34th ST,10
506,Westbound NW 16th Boulevard @ NW 39th Street,Westbound NW 16th BLVD @ Nearside NW 39th ST,10
510,Westbound NW 23rd Avenue @ NW 46th Terrace,Westbound NW 23rd AVE @ Nearside NW 46th TER,10
541,Raintree Neighborhood,Eastbound NW 16th AVE @ Nearside NW 23rd TER,10
520,Santa Fe,Westbound Santa Fe College @ Farside Santa Fe Col*,10
528,Northwest Baptist Church,Eastbound NW 23rd AVE @ Nearside NW 55th ST,10
439,NW 13th St @ Nearside NW 3rd Pl Southbound,Southbound NW 13th ST @ Nearside NW 3rd PL,10
