"stop_id","stop_name","stop_desc"
"1456","NE 49th AVE","Westbound NE 49th AVE @ Farside Waldo RD"
"888","Invivo Imaging","Westbound NE 53rd AVE @ Farside Waldo RD"
"1443","North Point @ Ironwood","Southbound NE 15th ST @ Nearside NE 47th PL"
"891","Lewis Place @ Ironwood Apartments","Southbound NE 15th Street @ Nearside NE 39th AVE"
"892","One Room School","Southbound NE 15th ST @ Nearside NE 39th AVE"
"893","Bertie Heating & Air","Eastbound NE 23rd AVE @ Nearside NE 17th TER"
"895","BP Gas Station @ NE 23rd Avenue","Eastbound NE 23rd AVE @ Nearside Waldo RD"
"896","University of Florida Eastside Campus @ Waldo Road","Southbound Waldo RD @ Farside NE 21st PL"
"897","Crab House","Southbound Waldo RD @ Farside Ne 18th PL"
"903","Southbound NE 9th Street @ NE 14th Avenue","Southbound NE 9th ST @ Nearside NE 14th AVE"
"904","Southbound NE 9th Street @ Ne 10th Place","Southbound NE 9th ST @ Nearside NE 10th PL"
"909","Episcopal Children's Services","Southbound Waldo RD @ Farside NE 8th AVE"
"910","UF Health Family Medicine Eastside","Southbound Waldo RD @ Farside NE 5th AVE"
"912","Kangaroo @ Waldo Road","Southbound Waldo RD @ Nearside E University AVE"
"913","Southbound SE 11th Street @ SE 2nd Avenue","Southbound SE 11th ST @ Nearside SE 2nd AVE"
"915","Triangle Club","Westbound SE 4th AVE @ Farside SE 11th ST"
"917","Westbound SE 4th Avenue @ SE 8th Street","Westbound SE 4th AVE @ Nearside SE 8th ST"
"920","GRU Administration Building","Westbound SE 4th AVE @ Nearside SE 4th ST"
"1313","Bed and Breakfast District","Eastbound SE 2nd AVE @ Nearside SE 7th ST"
"1367","Eastbound SE 2nd AVE @ SE 10th ST","Eastbound SE 2nd AVE @ Farside SE 10th ST"
"1315","Super Wal-Mart @ Waldo Road","Northbound Waldo RD @ Farside NE 12th AVE"
"1163","Sonny's Barbecue @ Waldo Road","Northbound Waldo RD @ Nearside NE 27th AVE"
"1164","Merita Bread Box","Northbound Waldo RD @ Farside NE 31st AVE"
"1317","GRACE Marketplace","Eastbound NE 39th AVE @ Farside Waldo RD"
